MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Shaheem Haltiwanger,IDL,Towson,6017,269,0928,3178,7668,5.31,12,7.71,4.76,26,0805
Shaquan Davis,WR,South Carolina State,6044,216,0938,3500,8238,4.51,--,7.19,4.50,34,1010
Tyrece Nick,WR,South Carolina State,5110,194,0828,3048,7128,4.86,6,7.58,4.82,29.5,0809
Chris Simon,G,South Carolina State,6030,304,0928,3400,8248,5.28,15,8.52,4.95,24.5,0805
Jalen Barr,S,South Carolina State,5100,197,0900,3100,7618,4.59,13,7.57,4.45,29.5,0907
Duane Nichols,S,South Carolina State,6003,193,0758,3148,7548,4.72,5,7.48,4.62,26,0902
Chris Simmons,S,South Carolina State,5104,196,0948,3158,7358,4.71,7,7.56,4.51,30,0900
Jevin Frett,WR,UL Monroe,6003,214,0900,3158,7728,4.65,9,7.35,4.57,34,0911
Boogie Knight,WR,UL Monroe,5096,198,0868,2778,6878,4.74,29,7.15,4.26,34,0905
Fred Lloyd Jr.,WR,UL Monroe,6031,209,0868,3218,7928,4.96,--,7.26,4.47,29.5,0905
Zach Rasmussen,TE,UL Monroe,6032,227,0948,3048,7500,4.83,21,7.57,4.51,30.5,0905
Caleb Thomas,IDL,UL Monroe,6005,287,1018,3258,8018,5.10,30,7.75,4.60,33.5,0901
Devyn McCormick,P,UL Monroe,6005,217,0838,3018,7428,--,18,--,--,--,--
La'Darius Jefferson,RB,Western Michigan,6007,236,0958,3148,7658,4.99,--,7.42,4.52,27.5,0902
Austin Hence,TE,Western Michigan,6037,230,0958,3268,7918,4.75,16,7.14,4.57,34,0910
Dylan Deatherage,G,Western Michigan,6050,302,0900,3238,7748,5.10,28,7.69,4.75,28.5,0908
Warren Dabney,IDL,Western Michigan,5114,313,0918,3258,7878,5.50,31,7.95,4.75,27,0807
Zaire Barnes,LB,Western Michigan,6013,233,0900,3200,7638,4.56,20,7.02,4.27,34,1003
Corvin Moment,LB,Western Michigan,5115,239,0938,3138,7468,5.01,22,7.07,4.54,32.5,0905
Dorian Jackson,CB,Western Michigan,5097,180,0918,3100,7448,4.61,15,7.34,4.41,35.5,0907
Bricen Garner,S,Western Michigan,6010,177,0878,3118,7448,4.68,--,6.97,4.29,34.5,1000
Gio Vonne Sanders,S,Western Michigan,5084,175,0878,2878,7018,4.80,17,7.23,4.40,35,0907
Delano Ware,S,Western Michigan,6001,190,0938,3100,7638,4.67,13,7.22,4.39,34.5,1000
Thiago Kapps,K,Western Michigan,5114,190,0948,3048,7468,--,--,7.23,4.46,35.5,0911
Nick Mihalic,P,Western Michigan,5106,193,0948,2938,7318,4.68,--,--,--,--,--
